dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.126979,6.340231,0.000151,0.015135,0.756733,37.836630,0.046118
0.020000,0.126906,6.340227,0.000224,0.003642,-0.574644,-66.568812,0.046295
0.020000,0.126761,6.340221,0.000370,0.007281,0.181973,37.830842,0.046649
0.020000,0.126543,6.340210,0.000588,0.010916,0.181741,-0.011589,0.047180
0.020000,0.127295,6.340246,0.001341,0.037659,1.337124,57.769141,0.047888
0.020000,0.129956,6.340375,0.004005,0.133182,4.776163,171.951957,0.048772
0.020000,0.133148,6.340533,0.007202,0.159842,1.333030,-172.156671,0.049832
0.020000,0.136874,6.340721,0.010932,0.186510,1.333356,0.016302,0.051067
0.020000,0.141132,6.340941,0.015196,0.213195,1.334257,0.045061,0.052476
0.020000,0.145923,6.341197,0.019994,0.239898,1.335146,0.044422,0.054059
0.020000,0.151248,6.341490,0.025326,0.266618,1.336031,0.044249,0.055814
0.020000,0.157105,6.341823,0.031193,0.293357,1.336923,0.044595,0.057741
0.020000,0.163497,6.342199,0.037596,0.320123,1.338336,0.070677,0.059839
0.020000,0.170422,6.342622,0.044534,0.346917,1.339672,0.066787,0.062106
0.020000,0.177882,6.343095,0.052009,0.373736,1.340977,0.065280,0.064541
0.020000,0.185876,6.343622,0.060021,0.400584,1.342405,0.071374,0.067142
0.020000,0.194406,6.344207,0.068570,0.427471,1.344346,0.097038,0.069907
0.020000,0.203470,6.344855,0.077658,0.454398,1.346313,0.098368,0.072836
0.020000,0.213071,6.345571,0.087285,0.481364,1.348324,0.100564,0.075925
0.020000,0.223208,6.346358,0.097453,0.508372,1.350397,0.103658,0.079173
0.020000,0.233881,6.347223,0.108161,0.535423,1.352551,0.107671,0.082578
0.020000,0.245092,6.348171,0.119412,0.562528,1.355247,0.134821,0.086136
0.020000,0.256840,6.349208,0.131205,0.589688,1.357976,0.136417,0.089846
0.020000,0.269126,6.350339,0.143544,0.616906,1.360908,0.146623,0.093704
0.020000,0.281951,6.351570,0.156427,0.644181,1.363762,0.142699,0.097708
0.020000,0.295315,6.352908,0.169858,0.671524,1.367142,0.169003,0.101855
0.020000,0.309218,6.354359,0.183836,0.698936,1.370627,0.174222,0.106140
0.020000,0.323661,6.355930,0.198365,0.726421,1.374237,0.180541,0.110561
0.020000,0.338645,6.357628,0.213444,0.753981,1.377996,0.187938,0.115113
0.020000,0.354170,6.359460,0.229077,0.781629,1.382419,0.221163,0.119794
0.020000,0.370236,6.361433,0.245264,0.809356,1.386329,0.195488,0.124598
0.020000,0.386845,6.363555,0.262008,0.837180,1.391206,0.243818,0.129521
0.020000,0.403996,6.365833,0.279310,0.865093,1.395658,0.222631,0.134558
0.020000,0.421690,6.368275,0.297172,0.893108,1.400738,0.253990,0.139706
0.020000,0.439929,6.370888,0.315596,0.921227,1.405972,0.261683,0.144958
0.020000,0.458711,6.373682,0.334585,0.949455,1.411380,0.270417,0.150309
0.020000,0.478038,6.376663,0.354141,0.977795,1.416982,0.280111,0.155754
0.020000,0.497911,6.379840,0.374266,1.006253,1.422897,0.295725,0.161287
0.020000,0.518330,6.383221,0.394963,1.034835,1.429106,0.310488,0.166903
0.020000,0.539295,6.386814,0.416234,1.063541,1.435295,0.309447,0.172594
0.020000,0.560807,6.390629,0.438081,1.092378,1.441878,0.329140,0.178355
0.020000,0.582866,6.394672,0.460508,1.121353,1.448752,0.343711,0.184180
0.020000,0.605474,6.398952,0.483518,1.150466,1.455660,0.345398,0.190060
0.020000,0.628630,6.403479,0.507112,1.179724,1.462859,0.359909,0.195990
0.020000,0.652336,6.408259,0.531295,1.209130,1.470295,0.371817,0.201961
0.020000,0.676591,6.413302,0.556069,1.238686,1.477834,0.376949,0.207968
0.020000,0.701396,6.418614,0.581437,1.268399,1.485623,0.389439,0.214001
0.020000,0.726753,6.424206,0.607402,1.298271,1.493596,0.398688,0.220054
0.020000,0.752660,6.430084,0.633968,1.328305,1.501707,0.405546,0.226118
0.020000,0.779120,6.436256,0.661138,1.358505,1.510004,0.414829,0.232186
0.020000,0.806133,6.442730,0.688916,1.388874,1.518435,0.421542,0.238248
0.020000,0.833698,6.449513,0.717304,1.419414,1.527003,0.428413,0.244298
0.020000,0.861818,6.456613,0.746306,1.450128,1.535714,0.435535,0.250326
0.020000,0.890493,6.464037,0.775927,1.481019,1.544569,0.442776,0.256324
0.020000,0.919724,6.471792,0.806169,1.512089,1.553495,0.446282,0.262282
0.020000,0.949511,6.479883,0.837035,1.543339,1.562497,0.450091,0.268193
0.020000,0.979856,6.488319,0.868531,1.574773,1.571678,0.459069,0.274047
0.020000,1.010760,6.497103,0.900659,1.606391,1.580921,0.462144,0.279836
0.020000,1.042223,6.506243,0.933423,1.638194,1.590166,0.462264,0.285550
0.020000,1.074247,6.515743,0.966826,1.670184,1.599493,0.466353,0.291181
0.020000,1.106834,6.525608,1.000874,1.702362,1.608905,0.470568,0.296718
0.020000,1.139985,6.535843,1.035568,1.734730,1.618401,0.474805,0.302153
0.020000,1.173701,6.546452,1.070914,1.767290,1.627980,0.478969,0.307477
0.020000,1.207985,6.557437,1.106915,1.800040,1.637490,0.475500,0.312680
