dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.145927,5.929668,0.000151,0.015135,0.756733,37.836630,0.046118
0.020000,0.145927,5.929668,0.000757,0.045404,1.513465,37.836630,0.046295
0.020000,0.145927,5.929668,0.001968,0.075673,1.513465,0.000000,0.046649
0.020000,0.145927,5.929668,0.003784,0.105943,1.513465,0.000000,0.047180
0.020000,0.146970,5.929718,0.006205,0.136212,1.513465,-0.000000,0.047888
0.020000,0.149993,5.929864,0.009232,0.166481,1.513465,0.000000,0.048772
0.020000,0.153621,5.930043,0.012864,0.196750,1.513465,0.000000,0.049832
0.020000,0.157853,5.930257,0.017102,0.227020,1.513465,-0.000000,0.051067
0.020000,0.162690,5.930507,0.021945,0.257289,1.513465,0.000000,0.052476
0.020000,0.168131,5.930797,0.027394,0.287558,1.513465,0.000000,0.054059
0.020000,0.174175,5.931130,0.033448,0.317828,1.513465,-0.000000,0.055814
0.020000,0.180824,5.931508,0.040107,0.348097,1.513465,0.000000,0.057741
0.020000,0.188076,5.931934,0.047371,0.378366,1.513465,0.000000,0.059839
0.020000,0.195931,5.932414,0.055241,0.408636,1.513465,0.000000,0.062106
0.020000,0.204390,5.932950,0.063717,0.438905,1.513465,0.000000,0.064541
0.020000,0.213451,5.933548,0.072798,0.469174,1.513465,0.000000,0.067142
0.020000,0.223114,5.934211,0.082484,0.499444,1.513465,-0.000000,0.069907
0.020000,0.233379,5.934945,0.092775,0.529713,1.513465,0.000000,0.072836
0.020000,0.244246,5.935755,0.103672,0.559982,1.513465,0.000000,0.075925
0.020000,0.255714,5.936646,0.115175,0.590251,1.513465,0.000000,0.079173
0.020000,0.267782,5.937624,0.127282,0.620521,1.513465,0.000000,0.082578
0.020000,0.280450,5.938695,0.139996,0.650790,1.513465,0.000000,0.086136
0.020000,0.293717,5.939866,0.153314,0.681059,1.513465,0.000000,0.089846
0.020000,0.307582,5.941142,0.167238,0.711329,1.513465,0.000000,0.093704
0.020000,0.322045,5.942530,0.181767,0.741598,1.513465,-0.000000,0.097708
0.020000,0.337104,5.944038,0.196902,0.771867,1.513465,0.000000,0.101855
0.020000,0.352759,5.945672,0.212642,0.802137,1.513465,-0.000000,0.106140
0.020000,0.369009,5.947439,0.228987,0.832406,1.513465,-0.000000,0.110561
0.020000,0.385852,5.949348,0.245938,0.862675,1.513465,0.000000,0.115113
0.020000,0.403287,5.951405,0.263494,0.892944,1.513465,-0.000000,0.119794
0.020000,0.421313,5.953619,0.281656,0.923214,1.513465,0.000000,0.124598
0.020000,0.439929,5.955997,0.300423,0.953483,1.513465,0.000000,0.129521
0.020000,0.459133,5.958548,0.319795,0.983752,1.513465,-0.000000,0.134558
0.020000,0.478923,5.961279,0.339773,1.014022,1.513465,0.000000,0.139706
0.020000,0.499298,5.964199,0.360356,1.044291,1.513465,-0.000000,0.144958
0.020000,0.520256,5.967316,0.381545,1.074560,1.513465,0.000000,0.150309
0.020000,0.541795,5.970638,0.403338,1.104830,1.513465,-0.000000,0.155754
0.020000,0.563913,5.974174,0.425738,1.135099,1.513465,0.000000,0.161287
0.020000,0.586609,5.977932,0.448742,1.165368,1.513465,0.000000,0.166903
0.020000,0.609879,5.981921,0.472352,1.195637,1.513465,-0.000000,0.172594
0.020000,0.633723,5.986148,0.496568,1.225907,1.513465,0.000000,0.178355
0.020000,0.658137,5.990623,0.521389,1.256176,1.513465,-0.000000,0.184180
0.020000,0.683119,5.995353,0.546815,1.286445,1.513465,0.000000,0.190060
0.020000,0.708667,6.000347,0.572847,1.316715,1.513465,0.000000,0.195990
0.020000,0.734779,6.005613,0.599484,1.346984,1.513465,-0.000000,0.201961
0.020000,0.761451,6.011158,0.626726,1.377253,1.513465,0.000000,0.207968
0.020000,0.788681,6.016990,0.654574,1.407523,1.513465,-0.000000,0.214001
0.020000,0.816467,6.023117,0.683027,1.437792,1.513465,0.000000,0.220054
0.020000,0.844805,6.029546,0.712085,1.468061,1.513465,0.000000,0.226118
0.020000,0.873693,6.036284,0.741749,1.498331,1.513465,0.000000,0.232186
0.020000,0.903129,6.043339,0.772019,1.528600,1.513465,-0.000000,0.238248
0.020000,0.933109,6.050717,0.802893,1.558869,1.513465,-0.000000,0.244298
0.020000,0.963631,6.058423,0.834373,1.589138,1.513465,0.000000,0.250326
0.020000,0.994693,6.066465,0.866459,1.619408,1.513465,0.000000,0.256324
0.020000,1.026290,6.074848,0.899150,1.649677,1.513465,0.000000,0.262282
0.020000,1.058422,6.083576,0.932446,1.679946,1.513465,0.000000,0.268193
0.020000,1.091085,6.092656,0.966348,1.710216,1.513465,-0.000000,0.274047
0.020000,1.124277,6.102091,1.000855,1.740485,1.513465,-0.000000,0.279836
0.020000,1.157996,6.111886,1.035967,1.770754,1.513465,0.000000,0.285550
0.020000,1.192238,6.122044,1.071685,1.801024,1.513465,0.000000,0.291181
0.020000,1.227003,6.132569,1.108008,1.831293,1.513465,0.000000,0.296718
0.020000,1.262288,6.143462,1.144936,1.861562,1.513465,0.000000,0.302153
0.020000,1.298092,6.154728,1.182470,1.891831,1.513465,-0.000000,0.307477
0.020000,1.334412,6.166366,1.220610,1.922101,1.513465,0.000000,0.312680
0.020000,1.371248,6.178378,1.259354,1.952370,1.513465,0.000000,0.317753
0.020000,1.408597,6.190765,1.298704,1.982639,1.513465,0.000000,0.322687
0.020000,1.446460,6.203527,1.338660,2.012909,1.513465,0.000000,0.327472
0.020000,1.484835,6.216663,1.379221,2.043178,1.513465,-0.000000,0.332098
0.020000,1.523721,6.230172,1.420387,2.073447,1.513465,0.000000,0.336557
0.020000,1.563119,6.244052,1.462159,2.103717,1.513465,0.000000,0.340838
0.020000,1.603029,6.258300,1.504536,2.133986,1.513465,-0.000000,0.344933
0.020000,1.643451,6.272913,1.547518,2.164255,1.513465,0.000000,0.348830
0.020000,1.684386,6.287888,1.591106,2.194525,1.513465,-0.000000,0.352522
0.020000,1.725834,6.303219,1.635299,2.224794,1.513465,0.000000,0.355997
0.020000,1.767798,6.318902,1.680098,2.255063,1.513465,-0.000000,0.359246
0.020000,1.810279,6.334930,1.725502,2.285332,1.513465,0.000000,0.362259
0.020000,1.853280,6.351295,1.771511,2.315602,1.513465,0.000000,0.365026
0.020000,1.896802,6.367991,1.818126,2.345871,1.513465,-0.000000,0.367537
0.020000,1.940849,6.385009,1.865346,2.376140,1.513465,0.000000,0.369780
0.020000,1.985424,6.402338,1.913171,2.406410,1.513465,-0.000000,0.371746
0.020000,2.030532,6.419970,1.961602,2.436679,1.513465,0.000000,0.373424
0.020000,2.076176,6.437891,2.010638,2.466948,1.513465,0.000000,0.374802
0.020000,2.122361,6.456090,2.060280,2.497218,1.513465,-0.000000,0.375870
0.020000,2.169093,6.474554,2.110527,2.527487,1.513465,0.000000,0.376617
0.020000,2.216377,6.493267,2.161380,2.557756,1.513465,-0.000000,0.377029
0.020000,2.264219,6.512215,2.212837,2.588025,1.513465,0.000000,0.377095
0.020000,2.312627,6.531380,2.264901,2.618295,1.513465,0.000000,0.376804
0.020000,2.361606,6.550745,2.317569,2.648564,1.513465,0.000000,0.376141
0.020000,2.411165,6.570290,2.370843,2.678833,1.513465,0.000000,0.375094
0.020000,2.461312,6.589994,2.424723,2.709103,1.513465,-0.000000,0.373649
