dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.164874,5.519105,0.000151,0.015135,0.756733,37.836630,0.046118
0.020000,0.164947,5.519108,0.000224,0.003642,-0.574644,-66.568812,0.046295
0.020000,0.165093,5.519115,0.000370,0.007281,0.181973,37.830842,0.046649
0.020000,0.165311,5.519125,0.000588,0.010916,0.181741,-0.011589,0.047180
0.020000,0.166644,5.519189,0.001923,0.066748,2.791598,130.492840,0.047888
0.020000,0.170030,5.519353,0.005313,0.169511,5.138171,117.328636,0.048772
0.020000,0.174093,5.519553,0.009381,0.203395,1.694152,-172.200929,0.049832
0.020000,0.178832,5.519792,0.014126,0.237258,1.693183,-0.048462,0.051067
0.020000,0.184247,5.520073,0.019549,0.271112,1.692700,-0.024157,0.052476
0.020000,0.190338,5.520398,0.025648,0.304951,1.691948,-0.037610,0.054059
0.020000,0.197103,5.520770,0.032423,0.338770,1.690931,-0.050845,0.055814
0.020000,0.204542,5.521193,0.039874,0.372563,1.689654,-0.063833,0.057741
0.020000,0.212655,5.521670,0.048001,0.406338,1.688762,-0.044607,0.059839
0.020000,0.221440,5.522206,0.056803,0.440088,1.687483,-0.063968,0.062106
0.020000,0.230897,5.522806,0.066279,0.473805,1.685866,-0.080813,0.064541
0.020000,0.241025,5.523474,0.076429,0.507487,1.684095,-0.088565,0.067142
0.020000,0.251823,5.524215,0.087251,0.541140,1.682652,-0.072141,0.069907
0.020000,0.263288,5.525035,0.098747,0.574758,1.680908,-0.087198,0.072836
0.020000,0.275422,5.525939,0.110913,0.608336,1.678873,-0.101773,0.075925
0.020000,0.288220,5.526933,0.123751,0.641867,1.676556,-0.115841,0.079173
0.020000,0.301683,5.528025,0.137258,0.675346,1.673968,-0.129382,0.082578
0.020000,0.315808,5.529219,0.151433,0.708780,1.671680,-0.114421,0.086136
0.020000,0.330594,5.530523,0.166276,0.742160,1.669032,-0.132399,0.089846
0.020000,0.346038,5.531945,0.181786,0.775485,1.666229,-0.140174,0.093704
0.020000,0.362139,5.533490,0.197961,0.808743,1.662902,-0.166337,0.097708
0.020000,0.378894,5.535168,0.214800,0.841939,1.659799,-0.155144,0.101855
0.020000,0.396301,5.536985,0.232301,0.875066,1.656377,-0.171076,0.106140
0.020000,0.414357,5.538949,0.250463,0.908120,1.652654,-0.186171,0.110561
0.020000,0.433059,5.541068,0.269285,0.941092,1.648646,-0.200419,0.115113
0.020000,0.452405,5.543351,0.288765,0.973992,1.644986,-0.182967,0.119794
0.020000,0.472390,5.545805,0.308901,1.006796,1.640198,-0.239403,0.124598
0.020000,0.493013,5.548440,0.329691,1.039519,1.636118,-0.204014,0.129521
0.020000,0.514269,5.551263,0.351134,1.072139,1.631009,-0.255448,0.134558
0.020000,0.536155,5.554283,0.373227,1.104662,1.626173,-0.241818,0.139706
0.020000,0.558667,5.557509,0.395969,1.137082,1.621017,-0.257797,0.144958
0.020000,0.581800,5.560950,0.419357,1.169394,1.615566,-0.272552,0.150309
0.020000,0.605551,5.564613,0.443389,1.201591,1.609843,-0.286111,0.155754
0.020000,0.629915,5.568508,0.468062,1.233671,1.603997,-0.292328,0.161287
0.020000,0.654888,5.572643,0.493375,1.265631,1.598007,-0.299490,0.166903
0.020000,0.680464,5.577027,0.519324,1.297461,1.591493,-0.325716,0.172594
0.020000,0.706639,5.581668,0.545907,1.329160,1.584968,-0.326219,0.178355
0.020000,0.733408,5.586575,0.573122,1.360726,1.578316,-0.332638,0.184180
0.020000,0.760765,5.591754,0.600965,1.392151,1.571232,-0.354175,0.190060
0.020000,0.788704,5.597216,0.629433,1.423432,1.564042,-0.359505,0.195990
0.020000,0.817222,5.602966,0.658525,1.454566,1.556695,-0.367349,0.201961
0.020000,0.846311,5.609014,0.688236,1.485547,1.549043,-0.382577,0.207968
0.020000,0.875966,5.615365,0.718563,1.516372,1.541281,-0.388101,0.214001
0.020000,0.906181,5.622028,0.749504,1.547039,1.533349,-0.396639,0.220054
0.020000,0.936949,5.629008,0.781055,1.577543,1.525207,-0.407063,0.226118
0.020000,0.968266,5.636313,0.813212,1.607882,1.516936,-0.413581,0.232186
0.020000,1.000125,5.643949,0.845973,1.638052,1.508494,-0.422109,0.238248
0.020000,1.032520,5.651920,0.879334,1.668050,1.499906,-0.429363,0.244298
0.020000,1.065444,5.660233,0.913292,1.697874,1.491202,-0.435234,0.250326
0.020000,1.098892,5.668893,0.947842,1.727522,1.482404,-0.439891,0.256324
0.020000,1.132857,5.677903,0.982982,1.756991,1.473447,-0.447828,0.262282
0.020000,1.167333,5.687269,1.018708,1.786278,1.464361,-0.454313,0.268193
0.020000,1.202314,5.696993,1.055015,1.815384,1.455285,-0.453801,0.274047
0.020000,1.237795,5.707079,1.091902,1.844306,1.446101,-0.459183,0.279836
0.020000,1.273768,5.717529,1.129362,1.873041,1.436761,-0.467004,0.285550
0.020000,1.310230,5.728345,1.167394,1.901589,1.427373,-0.469393,0.291181
0.020000,1.347173,5.739529,1.205993,1.929948,1.417955,-0.470910,0.296718
0.020000,1.384592,5.751082,1.245155,1.958118,1.408520,-0.471782,0.302153
0.020000,1.422483,5.763003,1.284877,1.986100,1.399075,-0.472233,0.307477
0.020000,1.460840,5.775294,1.325155,2.013889,1.389458,-0.480828,0.312680
0.020000,1.499658,5.787953,1.365985,2.041485,1.379824,-0.481726,0.317753
0.020000,1.538932,5.800978,1.407363,2.068889,1.370189,-0.481752,0.322687
0.020000,1.578658,5.814368,1.449285,2.096101,1.360585,-0.480170,0.327472
0.020000,1.618832,5.828120,1.491747,2.123117,1.350806,-0.488948,0.332098
0.020000,1.659449,5.842230,1.534746,2.149937,1.341019,-0.489370,0.336557
0.020000,1.700507,5.856694,1.578277,2.176562,1.331218,-0.490030,0.340838
0.020000,1.742002,5.871508,1.622337,2.202990,1.321395,-0.491162,0.344933
0.020000,1.783931,5.886667,1.666921,2.229220,1.311503,-0.494597,0.348830
0.020000,1.826290,5.902162,1.712026,2.255245,1.301283,-0.511033,0.352522
0.020000,1.869078,5.917989,1.757648,2.281075,1.291484,-0.489925,0.355997
0.020000,1.912293,5.934139,1.803782,2.306698,1.281136,-0.517396,0.359246
0.020000,1.955933,5.950604,1.850424,2.332115,1.270869,-0.513343,0.362259
0.020000,1.999996,5.967374,1.897570,2.357325,1.260522,-0.517384,0.365026
0.020000,2.044481,5.984440,1.945217,2.382325,1.249962,-0.527959,0.367537
0.020000,2.089388,6.001790,1.993359,2.407110,1.239266,-0.534803,0.369780
0.020000,2.134717,6.019412,2.041993,2.431677,1.228329,-0.546860,0.371746
0.020000,2.180467,6.037294,2.091113,2.456022,1.217286,-0.552144,0.373424
0.020000,2.226638,6.055423,2.140716,2.480143,1.206026,-0.563020,0.374802
0.020000,2.273232,6.073783,2.190797,2.504031,1.194415,-0.580517,0.375870
0.020000,2.320249,6.092359,2.241350,2.527684,1.182644,-0.588598,0.376617
0.020000,2.367691,6.111135,2.292372,2.551095,1.170542,-0.605093,0.377029
0.020000,2.415558,6.130092,2.343857,2.574257,1.158116,-0.621260,0.377095
0.020000,2.463854,6.149213,2.395801,2.597164,1.145360,-0.637839,0.376804
0.020000,2.512580,6.168478,2.448197,2.619809,1.132232,-0.656386,0.376141
0.020000,2.561739,6.187865,2.501040,2.642183,1.118706,-0.676293,0.375094
0.020000,2.611333,6.207353,2.554326,2.664280,1.104846,-0.692989,0.373649
0.020000,2.661366,6.226917,2.608048,2.686088,1.090390,-0.722815,0.371793
0.020000,2.711840,6.246534,2.662200,2.707602,1.075684,-0.735300,0.369510
0.020000,2.762759,6.266177,2.716776,2.728809,1.060378,-0.765312,0.366787
0.020000,2.814125,6.285819,2.771770,2.749701,1.044615,-0.788119,0.363607
0.020000,2.865943,6.305431,2.827175,2.770269,1.028397,-0.810921,0.359955
0.020000,2.918217,6.324983,2.882985,2.790503,1.011673,-0.836184,0.355815
0.020000,2.970948,6.344443,2.939193,2.810394,0.994560,-0.855662,0.351170
0.020000,3.024142,6.363778,2.995792,2.829933,0.976938,-0.881095,0.346003
0.020000,3.077801,6.382952,3.052774,2.849109,0.958787,-0.907554,0.340296
0.020000,3.131929,6.401929,3.110133,2.867918,0.940448,-0.916960,0.334031
0.020000,3.186529,6.420671,3.167860,2.886353,0.921753,-0.934721,0.327191
0.020000,3.241604,6.439138,3.225948,2.904406,0.902680,-0.953659,0.319756
0.020000,3.297156,6.457287,3.284389,2.922078,0.883576,-0.955213,0.311708
0.020000,3.353187,6.475076,3.343177,2.939366,0.864421,-0.957740,0.303029
0.020000,3.409700,6.492459,3.402302,2.956278,0.845584,-0.941869,0.293699
0.020000,3.466694,6.509390,3.461758,2.972812,0.826720,-0.943197,0.283701
0.020000,3.524172,6.525819,3.521538,2.988986,0.808670,-0.902491,0.273018
0.020000,3.582133,6.541697,3.581634,3.004810,0.791242,-0.871382,0.261632
