dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.026980,5.870194,0.000151,0.015148,0.757409,37.870451,6.281696
0.020000,0.026980,5.870194,0.000757,0.045445,1.514818,37.870451,6.281880
0.020000,0.026980,5.870194,0.001969,0.075741,1.514818,-0.000000,6.282248
0.020000,0.026980,5.870194,0.003787,0.106037,1.514818,0.000000,6.282800
0.020000,0.028133,5.870195,0.006211,0.136334,1.514818,0.000000,0.000350
0.020000,0.031162,5.870197,0.009240,0.166630,1.514818,-0.000000,0.001268
0.020000,0.034798,5.870204,0.012876,0.196926,1.514818,0.000000,0.002369
0.020000,0.039039,5.870216,0.017117,0.227223,1.514818,0.000000,0.003653
0.020000,0.043887,5.870238,0.021965,0.257519,1.514818,-0.000000,0.005118
0.020000,0.049340,5.870270,0.027418,0.287815,1.514818,0.000000,0.006764
0.020000,0.055399,5.870317,0.033477,0.318112,1.514818,0.000000,0.008590
0.020000,0.062064,5.870381,0.040143,0.348408,1.514818,-0.000000,0.010596
0.020000,0.069335,5.870466,0.047414,0.378705,1.514818,0.000000,0.012779
0.020000,0.077211,5.870576,0.055291,0.409001,1.514818,-0.000000,0.015140
0.020000,0.085693,5.870715,0.063774,0.439297,1.514818,-0.000000,0.017677
0.020000,0.094780,5.870888,0.072863,0.469594,1.514818,0.000000,0.020388
0.020000,0.104473,5.871099,0.082558,0.499890,1.514818,0.000000,0.023272
0.020000,0.114770,5.871355,0.092858,0.530186,1.514818,-0.000000,0.026327
0.020000,0.125673,5.871659,0.103765,0.560483,1.514818,-0.000000,0.029552
0.020000,0.137179,5.872019,0.115278,0.590779,1.514818,0.000000,0.032944
0.020000,0.149291,5.872440,0.127396,0.621075,1.514818,-0.000000,0.036502
0.020000,0.162006,5.872928,0.140121,0.651372,1.514818,0.000000,0.040224
0.020000,0.175324,5.873490,0.153451,0.681668,1.514818,0.000000,0.044106
0.020000,0.189246,5.874132,0.167387,0.711964,1.514818,-0.000000,0.048146
0.020000,0.203770,5.874863,0.181930,0.742261,1.514818,0.000000,0.052341
0.020000,0.218895,5.875688,0.197078,0.772557,1.514818,0.000000,0.056689
0.020000,0.234622,5.876616,0.212832,0.802854,1.514818,-0.000000,0.061186
0.020000,0.250949,5.877655,0.229192,0.833150,1.514818,0.000000,0.065829
0.020000,0.267876,5.878811,0.246158,0.863446,1.514818,0.000000,0.070614
0.020000,0.285401,5.880094,0.263730,0.893743,1.514818,0.000000,0.075537
0.020000,0.303523,5.881512,0.281908,0.924039,1.514818,0.000000,0.080595
0.020000,0.322242,5.883073,0.300691,0.954335,1.514818,-0.000000,0.085782
0.020000,0.341556,5.884785,0.320081,0.984632,1.514818,0.000000,0.091095
0.020000,0.361463,5.886658,0.340077,1.014928,1.514818,-0.000000,0.096528
0.020000,0.381963,5.888701,0.360678,1.045224,1.514818,0.000000,0.102077
0.020000,0.403054,5.890922,0.381886,1.075521,1.514818,0.000000,0.107736
0.020000,0.424734,5.893330,0.403699,1.105817,1.514818,0.000000,0.113500
0.020000,0.447002,5.895934,0.426118,1.136114,1.514818,-0.000000,0.119363
0.020000,0.469855,5.898744,0.449144,1.166410,1.514818,0.000000,0.125318
0.020000,0.493291,5.901769,0.472775,1.196706,1.514818,-0.000000,0.131361
0.020000,0.517310,5.905017,0.497012,1.227003,1.514818,0.000000,0.137483
0.020000,0.541908,5.908499,0.521855,1.257299,1.514818,0.000000,0.143679
0.020000,0.567083,5.912221,0.547304,1.287595,1.514818,-0.000000,0.149942
0.020000,0.592833,5.916195,0.573359,1.317892,1.514818,0.000000,0.156264
0.020000,0.619155,5.920428,0.600019,1.348188,1.514818,-0.000000,0.162637
0.020000,0.646048,5.924930,0.627286,1.378484,1.514818,0.000000,0.169055
0.020000,0.673508,5.929709,0.655159,1.408781,1.514818,0.000000,0.175508
0.020000,0.701532,5.934772,0.683637,1.439077,1.514818,0.000000,0.181990
0.020000,0.730119,5.940129,0.712722,1.469373,1.514818,-0.000000,0.188492
0.020000,0.759265,5.945788,0.742412,1.499670,1.514818,0.000000,0.195005
0.020000,0.788968,5.951756,0.772709,1.529966,1.514818,-0.000000,0.201520
0.020000,0.819225,5.958040,0.803611,1.560263,1.514818,0.000000,0.208029
0.020000,0.850032,5.964648,0.835119,1.590559,1.514818,0.000000,0.214524
0.020000,0.881388,5.971586,0.867233,1.620855,1.514818,0.000000,0.220994
0.020000,0.913289,5.978861,0.899953,1.651152,1.514818,-0.000000,0.227431
0.020000,0.945732,5.986480,0.933279,1.681448,1.514818,0.000000,0.233824
0.020000,0.978715,5.994447,0.967211,1.711744,1.514818,0.000000,0.240166
0.020000,1.012236,6.002768,1.001749,1.742041,1.514818,0.000000,0.246446
0.020000,1.046291,6.011448,1.036893,1.772337,1.514818,-0.000000,0.252654
0.020000,1.080878,6.020491,1.072643,1.802633,1.514818,0.000000,0.258781
0.020000,1.115994,6.029901,1.108998,1.832930,1.514818,0.000000,0.264818
0.020000,1.151638,6.039681,1.145960,1.863226,1.514818,-0.000000,0.270753
0.020000,1.187808,6.049835,1.183527,1.893523,1.514818,0.000000,0.276578
0.020000,1.224500,6.060364,1.221701,1.923819,1.514818,-0.000000,0.282283
0.020000,1.261714,6.071271,1.260480,1.954115,1.514818,-0.000000,0.287857
0.020000,1.299448,6.082555,1.299865,1.984412,1.514818,0.000000,0.293290
0.020000,1.337701,6.094219,1.339857,2.014708,1.514818,0.000000,0.298573
0.020000,1.376471,6.106261,1.380454,2.045004,1.514818,0.000000,0.303696
0.020000,1.415757,6.118681,1.421657,2.075301,1.514818,-0.000000,0.308648
0.020000,1.455560,6.131477,1.463466,2.105597,1.514818,0.000000,0.313419
0.020000,1.495878,6.144647,1.505881,2.135893,1.514818,-0.000000,0.317999
0.020000,1.536712,6.158189,1.548901,2.166190,1.514818,0.000000,0.322379
0.020000,1.578062,6.172098,1.592528,2.196486,1.514818,0.000000,0.326547
0.020000,1.619929,6.186370,1.636761,2.226783,1.514818,-0.000000,0.330494
0.020000,1.662314,6.201001,1.681600,2.257079,1.514818,0.000000,0.334209
0.020000,1.705217,6.215983,1.727044,2.287375,1.514818,0.000000,0.337681
0.020000,1.748642,6.231310,1.773095,2.317672,1.514818,-0.000000,0.340901
0.020000,1.792590,6.246975,1.819751,2.347968,1.514818,0.000000,0.343857
0.020000,1.837064,6.262969,1.867013,2.378264,1.514818,0.000000,0.346539
0.020000,1.882067,6.279283,1.914881,2.408561,1.514818,0.000000,0.348935
0.020000,1.927602,6.295905,1.963356,2.438857,1.514818,0.000000,0.351034
