dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.026732,6.281194,0.000152,0.015219,0.760968,38.048394,0.000602
0.020000,0.026779,6.281194,0.000199,0.002323,-0.644801,-70.288458,0.000489
0.020000,0.026872,6.281194,0.000292,0.004644,0.116050,38.042581,0.000263
0.020000,0.027418,6.281194,0.000837,0.027296,1.132595,50.827246,6.283110
0.020000,0.030038,6.281194,0.003458,0.131025,5.186458,202.693143,6.282659
0.020000,0.033313,6.281191,0.006733,0.163765,1.636981,-177.473856,6.282096
0.020000,0.037243,6.281185,0.010663,0.196493,1.636380,-0.030059,6.281421
0.020000,0.041827,6.281175,0.015247,0.229207,1.635716,-0.033192,6.280636
0.020000,0.047065,6.281160,0.020485,0.261907,1.635027,-0.034467,6.279741
0.020000,0.052957,6.281137,0.026377,0.294586,1.633932,-0.054737,6.278736
0.020000,0.059502,6.281104,0.032922,0.327247,1.633052,-0.044001,6.277624
0.020000,0.066700,6.281059,0.040120,0.359885,1.631874,-0.058876,6.276405
0.020000,0.074549,6.281001,0.047970,0.392496,1.630574,-0.064995,6.275080
0.020000,0.083051,6.280926,0.056471,0.425082,1.629303,-0.063571,6.273650
0.020000,0.092203,6.280832,0.065624,0.457635,1.627633,-0.083487,6.272117
0.020000,0.102005,6.280715,0.075427,0.490158,1.626156,-0.073846,6.270483
0.020000,0.112457,6.280573,0.085880,0.522644,1.624306,-0.092511,6.268750
0.020000,0.123558,6.280403,0.096982,0.555093,1.622466,-0.092034,6.266919
0.020000,0.135306,6.280200,0.108732,0.587502,1.620447,-0.100907,6.264991
0.020000,0.147701,6.279962,0.121129,0.619869,1.618310,-0.106847,6.262970
0.020000,0.160742,6.279685,0.134173,0.652191,1.616108,-0.110142,6.260857
0.020000,0.174428,6.279364,0.147862,0.684464,1.613647,-0.123010,6.258655
0.020000,0.188757,6.278996,0.162196,0.716686,1.611122,-0.126293,6.256367
0.020000,0.203728,6.278577,0.177173,0.748855,1.608468,-0.132688,6.253994
0.020000,0.219340,6.278102,0.192793,0.780968,1.605639,-0.141449,6.251539
0.020000,0.235592,6.277567,0.209053,0.813024,1.602774,-0.143261,6.249006
0.020000,0.252481,6.276967,0.225953,0.845016,1.599591,-0.159132,6.246397
0.020000,0.270007,6.276298,0.243492,0.876945,1.596477,-0.155700,6.243716
0.020000,0.288168,6.275556,0.261668,0.908806,1.593057,-0.171018,6.240966
0.020000,0.306962,6.274736,0.280480,0.940598,1.589584,-0.173618,6.238149
0.020000,0.326388,6.273832,0.299927,0.972317,1.585943,-0.182060,6.235271
0.020000,0.346442,6.272841,0.320006,1.003959,1.582109,-0.191689,6.232333
0.020000,0.367125,6.271757,0.340716,1.035524,1.578246,-0.193148,6.229341
0.020000,0.388432,6.270576,0.362057,1.067007,1.574155,-0.204538,6.226299
0.020000,0.410363,6.269293,0.384025,1.098406,1.569928,-0.211352,6.223209
0.020000,0.432914,6.267903,0.406619,1.129718,1.565607,-0.216054,6.220077
0.020000,0.456084,6.266402,0.429838,1.160939,1.561086,-0.226053,6.216907
0.020000,0.479871,6.264785,0.453679,1.192068,1.556454,-0.231621,6.213703
0.020000,0.504271,6.263047,0.478141,1.223102,1.551672,-0.239083,6.210471
0.020000,0.529283,6.261184,0.503222,1.254037,1.546768,-0.245209,6.207214
0.020000,0.554903,6.259192,0.528919,1.284871,1.541710,-0.252919,6.203938
0.020000,0.581129,6.257065,0.555231,1.315602,1.536506,-0.260173,6.200647
0.020000,0.607958,6.254801,0.582156,1.346226,1.531195,-0.265553,6.197348
0.020000,0.635387,6.252395,0.609691,1.376740,1.525718,-0.273859,6.194045
0.020000,0.663414,6.249843,0.637834,1.407143,1.520135,-0.279129,6.190744
0.020000,0.692036,6.247142,0.666582,1.437431,1.514411,-0.286200,6.187450
0.020000,0.721248,6.244288,0.695934,1.467602,1.508555,-0.292825,6.184169
0.020000,0.751050,6.241279,0.725887,1.497653,1.502574,-0.299062,6.180907
0.020000,0.781437,6.238110,0.756439,1.527583,1.496475,-0.304926,6.177670
0.020000,0.812406,6.234780,0.787587,1.557388,1.490246,-0.311443,6.174464
0.020000,0.843954,6.231285,0.819328,1.587066,1.483901,-0.317285,6.171294
0.020000,0.876079,6.227624,0.851660,1.616615,1.477435,-0.323270,6.168168
0.020000,0.908776,6.223796,0.884581,1.646032,1.470856,-0.328941,6.165092
0.020000,0.942043,6.219798,0.918087,1.675315,1.464149,-0.335393,6.162072
0.020000,0.975876,6.215629,0.952176,1.704462,1.457349,-0.339953,6.159114
0.020000,1.010273,6.211288,0.986846,1.733470,1.450420,-0.346452,6.156227
0.020000,1.045230,6.206776,1.022093,1.762338,1.443382,-0.351903,6.153415
0.020000,1.080743,6.202091,1.057914,1.791062,1.436239,-0.357163,6.150688
0.020000,1.116811,6.197236,1.094307,1.819642,1.428993,-0.362313,6.148050
0.020000,1.153429,6.192209,1.131268,1.848074,1.421609,-0.369201,6.145511
0.020000,1.190595,6.187013,1.168795,1.876358,1.414152,-0.372839,6.143076
0.020000,1.228305,6.181650,1.206885,1.904489,1.406561,-0.379546,6.140753
0.020000,1.266557,6.176121,1.245534,1.932466,1.398866,-0.384776,6.138551
0.020000,1.305347,6.170429,1.284740,1.960287,1.391064,-0.390062,6.136475
0.020000,1.344673,6.164578,1.324499,1.987950,1.383133,-0.396550,6.134535
0.020000,1.384532,6.158572,1.364808,2.015452,1.375113,-0.401042,6.132738
0.020000,1.424921,6.152415,1.405664,2.042791,1.366946,-0.408304,6.131091
0.020000,1.465838,6.146111,1.447063,2.069965,1.358680,-0.413304,6.129603
0.020000,1.507279,6.139667,1.489003,2.096970,1.350278,-0.420126,6.128283
0.020000,1.549243,6.133089,1.531479,2.123806,1.341763,-0.425732,6.127138
0.020000,1.591726,6.126384,1.574488,2.150468,1.333109,-0.432706,6.126176
0.020000,1.634727,6.119559,1.618027,2.176954,1.324321,-0.439393,6.125407
0.020000,1.678243,6.112622,1.662093,2.203262,1.315392,-0.446456,6.124839
0.020000,1.722272,6.105582,1.706680,2.229389,1.306327,-0.453258,6.124481
0.020000,1.766660,6.098474,1.751635,2.247719,0.916534,-19.489633,6.124341
0.020000,1.810984,6.091374,1.796523,2.244412,-0.165374,-54.095414,6.124426
0.020000,1.854819,6.084362,1.840916,2.219642,-1.238508,-53.656710,6.124730
0.020000,1.897996,6.077473,1.884639,2.186145,-1.674857,-21.817442,6.125247
0.020000,1.940494,6.070720,1.927669,2.151540,-1.730241,-2.769192,6.125966
0.020000,1.982317,6.064109,1.970012,2.117114,-1.721294,0.447354,6.126879
0.020000,2.023469,6.057646,2.011669,2.082864,-1.712479,0.440757,6.127977
0.020000,2.063957,6.051337,2.052645,2.048788,-1.703809,0.433466,6.129253
