dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.026980,5.870194,0.000152,0.015219,0.760968,38.048394,0.000602
0.020000,0.026980,5.870194,0.000761,0.045658,1.521936,38.048394,0.000489
0.020000,0.026980,5.870194,0.001979,0.076097,1.521936,-0.000000,0.000263
0.020000,0.027387,5.870194,0.003805,0.106536,1.521936,0.000000,6.283110
0.020000,0.029822,5.870194,0.006240,0.136974,1.521936,0.000000,6.282659
0.020000,0.032866,5.870191,0.009284,0.167413,1.521936,0.000000,6.282096
0.020000,0.036518,5.870186,0.012936,0.197852,1.521936,0.000000,6.281421
0.020000,0.040780,5.870177,0.017198,0.228290,1.521936,-0.000000,6.280636
0.020000,0.045650,5.870162,0.022068,0.258729,1.521936,0.000000,6.279741
0.020000,0.051129,5.870141,0.027547,0.289168,1.521936,0.000000,6.278736
0.020000,0.057216,5.870110,0.033635,0.319607,1.521936,-0.000000,6.277624
0.020000,0.063913,5.870069,0.040331,0.350045,1.521936,0.000000,6.276405
0.020000,0.071218,5.870014,0.047637,0.380484,1.521936,0.000000,6.275080
0.020000,0.079132,5.869945,0.055551,0.410923,1.521936,0.000000,6.273650
0.020000,0.087654,5.869857,0.064073,0.441361,1.521936,0.000000,6.272117
0.020000,0.096785,5.869748,0.073205,0.471800,1.521936,0.000000,6.270483
0.020000,0.106524,5.869616,0.082945,0.502239,1.521936,-0.000000,6.268750
0.020000,0.116872,5.869457,0.093295,0.532678,1.521936,0.000000,6.266919
0.020000,0.127829,5.869268,0.104253,0.563116,1.521936,0.000000,6.264991
0.020000,0.139393,5.869046,0.115819,0.593555,1.521936,-0.000000,6.262970
0.020000,0.151566,5.868787,0.127995,0.623994,1.521936,0.000000,6.260857
0.020000,0.164347,5.868488,0.140779,0.654432,1.521936,-0.000000,6.258655
0.020000,0.177735,5.868144,0.154172,0.684871,1.521936,0.000000,6.256367
0.020000,0.191732,5.867752,0.168174,0.715310,1.521936,-0.000000,6.253994
0.020000,0.206335,5.867307,0.182784,0.745749,1.521936,0.000000,6.251539
0.020000,0.221547,5.866807,0.198004,0.776187,1.521936,0.000000,6.249006
0.020000,0.237365,5.866245,0.213832,0.806626,1.521936,0.000000,6.246397
0.020000,0.253790,5.865618,0.230269,0.837065,1.521936,0.000000,6.243716
0.020000,0.270821,5.864922,0.247315,0.867503,1.521936,0.000000,6.240966
0.020000,0.288459,5.864152,0.264969,0.897942,1.521936,-0.000000,6.238149
0.020000,0.306702,5.863304,0.283232,0.928381,1.521936,0.000000,6.235271
0.020000,0.325551,5.862372,0.302104,0.958820,1.521936,-0.000000,6.232333
0.020000,0.345005,5.861353,0.321585,0.989258,1.521936,0.000000,6.229341
0.020000,0.365064,5.860241,0.341675,1.019697,1.521936,-0.000000,6.226299
0.020000,0.385727,5.859032,0.362373,1.050136,1.521936,0.000000,6.223209
0.020000,0.406994,5.857722,0.383680,1.080574,1.521936,0.000000,6.220077
0.020000,0.428864,5.856305,0.405596,1.111013,1.521936,0.000000,6.216907
0.020000,0.451337,5.854777,0.428121,1.141452,1.521936,0.000000,6.213703
0.020000,0.474412,5.853133,0.451254,1.171891,1.521936,0.000000,6.210471
0.020000,0.498088,5.851370,0.474996,1.202329,1.521936,0.000000,6.207214
0.020000,0.522366,5.849482,0.499347,1.232768,1.521936,-0.000000,6.203938
0.020000,0.547244,5.847465,0.524307,1.263207,1.521936,0.000000,6.200647
0.020000,0.572722,5.845314,0.549875,1.293645,1.521936,-0.000000,6.197348
0.020000,0.598799,5.843027,0.576053,1.324084,1.521936,0.000000,6.194045
0.020000,0.625475,5.840598,0.602839,1.354523,1.521936,-0.000000,6.190744
0.020000,0.652748,5.838024,0.630234,1.384962,1.521936,0.000000,6.187450
0.020000,0.680619,5.835302,0.658237,1.415400,1.521936,-0.000000,6.184169
0.020000,0.709087,5.832426,0.686850,1.445839,1.521936,-0.000000,6.180907
0.020000,0.738150,5.829396,0.716071,1.476278,1.521936,0.000000,6.177670
0.020000,0.767809,5.826206,0.745901,1.506716,1.521936,0.000000,6.174464
0.020000,0.798063,5.822855,0.776339,1.537155,1.521936,-0.000000,6.171294
0.020000,0.828911,5.819340,0.807387,1.567594,1.521936,-0.000000,6.168168
