dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.027227,5.459194,0.000152,0.015219,0.760968,38.048394,0.000602
0.020000,0.027181,5.459194,0.000199,0.002323,-0.644801,-70.288458,0.000489
0.020000,0.027088,5.459194,0.000292,0.004644,0.116050,38.042581,0.000263
0.020000,0.027356,5.459194,0.000559,0.013375,0.436521,16.023521,6.283110
0.020000,0.029605,5.459194,0.002809,0.112485,4.955495,225.948720,6.282659
0.020000,0.032418,5.459191,0.005621,0.140623,1.406905,-177.429497,6.282096
0.020000,0.035793,5.459187,0.008997,0.168771,1.407435,0.026506,6.281421
0.020000,0.039732,5.459178,0.012935,0.196934,1.408124,0.034417,6.280636
0.020000,0.044234,5.459165,0.017438,0.225114,1.409004,0.044002,6.279741
0.020000,0.049300,5.459145,0.022504,0.253309,1.409751,0.037343,6.278736
0.020000,0.054931,5.459116,0.028134,0.281527,1.410899,0.057430,6.277624
0.020000,0.061126,5.459078,0.034330,0.309767,1.412011,0.055606,6.276405
0.020000,0.067886,5.459028,0.041090,0.338032,1.413240,0.061417,6.275080
0.020000,0.075213,5.458963,0.048417,0.366326,1.414717,0.073848,6.273650
0.020000,0.083105,5.458882,0.056310,0.394648,1.416077,0.068018,6.272117
0.020000,0.091565,5.458781,0.064770,0.423005,1.417833,0.087795,6.270483
0.020000,0.100592,5.458659,0.073798,0.451395,1.419499,0.083302,6.268750
0.020000,0.110187,5.458512,0.083394,0.479823,1.421408,0.095459,6.266919
0.020000,0.120351,5.458336,0.093560,0.508291,1.423402,0.099688,6.264991
0.020000,0.131085,5.458130,0.104296,0.536801,1.425534,0.106589,6.262970
0.020000,0.142390,5.457890,0.115603,0.565358,1.427852,0.115928,6.260857
0.020000,0.154266,5.457611,0.127482,0.593962,1.430194,0.117108,6.258655
0.020000,0.166714,5.457292,0.139935,0.622617,1.432729,0.126724,6.256367
0.020000,0.179736,5.456927,0.152961,0.651325,1.435404,0.133778,6.253994
0.020000,0.193331,5.456513,0.166563,0.680089,1.438182,0.138895,6.251539
0.020000,0.207502,5.456047,0.180741,0.708912,1.441186,0.150180,6.249006
0.020000,0.222248,5.455523,0.195497,0.737796,1.444172,0.149316,6.246397
0.020000,0.237572,5.454939,0.210832,0.766745,1.447480,0.165384,6.243716
0.020000,0.253474,5.454289,0.226747,0.795761,1.450783,0.165170,6.240966
0.020000,0.269955,5.453569,0.243244,0.824847,1.454306,0.176136,6.238149
0.020000,0.287017,5.452775,0.260324,0.854006,1.457947,0.182053,6.235271
0.020000,0.304660,5.451903,0.277989,0.883240,1.461686,0.186957,6.232333
0.020000,0.322886,5.450948,0.296240,0.912553,1.465668,0.199074,6.229341
0.020000,0.341696,5.449906,0.315079,0.941948,1.469717,0.202470,6.226299
0.020000,0.361092,5.448771,0.334508,0.971426,1.473915,0.209875,6.223209
0.020000,0.381074,5.447540,0.354528,1.000992,1.478297,0.219132,6.220077
0.020000,0.401643,5.446207,0.375141,1.030647,1.482770,0.223658,6.216907
0.020000,0.422802,5.444769,0.396348,1.060395,1.487411,0.232046,6.213703
0.020000,0.444552,5.443219,0.418153,1.090239,1.492185,0.238680,6.210471
0.020000,0.466894,5.441555,0.440557,1.120181,1.497113,0.246409,6.207214
0.020000,0.489829,5.439772,0.463561,1.150225,1.502165,0.252617,6.203938
0.020000,0.513359,5.437864,0.487169,1.180372,1.507347,0.259101,6.200647
0.020000,0.537486,5.435828,0.511381,1.210625,1.512690,0.267129,6.197348
0.020000,0.562211,5.433659,0.536201,1.240988,1.518138,0.272376,6.194045
0.020000,0.587535,5.431353,0.561630,1.271463,1.523741,0.280190,6.190744
0.020000,0.613461,5.428906,0.587671,1.302052,1.529466,0.286211,6.187450
0.020000,0.639990,5.426315,0.614327,1.332759,1.535315,0.292450,6.184169
0.020000,0.667124,5.423574,0.641598,1.363584,1.541292,0.298854,6.180907
0.020000,0.694864,5.420682,0.669489,1.394532,1.547400,0.305412,6.177670
0.020000,0.723213,5.417633,0.698001,1.425605,1.553624,0.311185,6.174464
0.020000,0.752172,5.414425,0.727137,1.456804,1.559971,0.317389,6.171294
0.020000,0.781743,5.411056,0.756900,1.488133,1.566437,0.323281,6.168168
0.020000,0.811929,5.407521,0.787292,1.519594,1.573023,0.329290,6.165092
0.020000,0.842731,5.403819,0.818315,1.551188,1.579711,0.334417,6.162072
0.020000,0.874151,5.399947,0.849974,1.582918,1.586534,0.341146,6.159114
0.020000,0.906193,5.395904,0.882269,1.614788,1.593453,0.345953,6.156227
0.020000,0.938858,5.391687,0.915205,1.646797,1.600486,0.351620,6.153415
0.020000,0.972149,5.387296,0.948784,1.678950,1.607633,0.357384,6.150688
0.020000,1.006068,5.382730,0.983009,1.711248,1.614897,0.363197,6.148050
0.020000,1.040617,5.377987,1.017883,1.743693,1.622244,0.367344,6.145511
0.020000,1.075801,5.373068,1.053409,1.776287,1.629735,0.374553,6.143076
0.020000,1.111621,5.367973,1.089590,1.809034,1.637313,0.378909,6.140753
0.020000,1.148081,5.362703,1.126428,1.841934,1.645008,0.384726,6.138551
0.020000,1.185183,5.357260,1.163928,1.874990,1.652820,0.390606,6.136475
0.020000,1.222932,5.351643,1.202092,1.908205,1.660730,0.395482,6.134535
0.020000,1.261330,5.345857,1.240924,1.941580,1.668779,0.402456,6.132738
0.020000,1.300381,5.339904,1.280426,1.975119,1.676919,0.406996,6.131091
0.020000,1.340089,5.333787,1.320603,2.008823,1.685198,0.413972,6.129603
