dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.027592,6.281194,0.000151,0.015148,0.757409,37.870451,6.281696
0.020000,0.027516,6.281194,0.000227,0.003783,-0.568274,-66.284158,6.281880
0.020000,0.027365,6.281194,0.000378,0.007563,0.189028,37.865118,6.282248
0.020000,0.027138,6.281194,0.000605,0.011340,0.188815,-0.010684,6.282800
0.020000,0.027989,6.281195,0.001456,0.042535,1.559796,68.549053,0.000350
0.020000,0.030641,6.281197,0.004108,0.132607,4.503564,147.188405,0.001268
0.020000,0.033824,6.281203,0.007291,0.159152,1.327266,-158.814886,0.002369
0.020000,0.037538,6.281214,0.011005,0.185699,1.327349,0.004138,0.003653
0.020000,0.041783,6.281232,0.015250,0.212263,1.328174,0.041281,0.005118
0.020000,0.046560,6.281261,0.020027,0.238841,1.328945,0.038513,0.006764
0.020000,0.051869,6.281301,0.025336,0.265435,1.329670,0.036264,0.008590
0.020000,0.057709,6.281357,0.031177,0.292042,1.330362,0.034594,0.010596
0.020000,0.064083,6.281432,0.037550,0.318688,1.332296,0.096712,0.012779
0.020000,0.070989,6.281528,0.044457,0.345333,1.332246,-0.002484,0.015140
0.020000,0.078428,6.281650,0.051898,0.372027,1.334727,0.124022,0.017677
0.020000,0.086401,6.281802,0.059872,0.398733,1.335269,0.027119,0.020388
0.020000,0.094909,6.281988,0.068382,0.425474,1.337049,0.088993,0.023272
0.020000,0.103951,6.282212,0.077427,0.452250,1.338822,0.088653,0.026327
0.020000,0.113529,6.282480,0.087008,0.479062,1.340608,0.089293,0.029552
0.020000,0.123642,6.282796,0.097126,0.505911,1.342427,0.090951,0.032944
0.020000,0.134292,6.283166,0.107782,0.532812,1.345064,0.131861,0.036502
0.020000,0.145478,6.283595,0.118978,0.559751,1.346924,0.092988,0.040224
0.020000,0.157203,6.284090,0.130712,0.586746,1.349785,0.143041,0.044106
0.020000,0.169466,6.284656,0.142988,0.613788,1.352084,0.114944,0.048146
0.020000,0.182267,6.285300,0.155806,0.640892,1.355187,0.155154,0.052341
0.020000,0.195609,6.286028,0.169167,0.668059,1.358356,0.158449,0.056689
0.020000,0.209490,6.286847,0.183073,0.695291,1.361616,0.163029,0.061186
0.020000,0.223913,6.287764,0.197525,0.722591,1.364994,0.168890,0.065829
0.020000,0.238877,6.288787,0.212524,0.749961,1.368514,0.176014,0.070614
0.020000,0.254384,6.289922,0.228073,0.777426,1.373217,0.235109,0.075537
0.020000,0.270434,6.291178,0.244172,0.804957,1.376552,0.166763,0.080595
0.020000,0.287029,6.292561,0.260823,0.832586,1.381443,0.244544,0.085782
0.020000,0.304167,6.294081,0.278030,0.860308,1.386115,0.233633,0.091095
0.020000,0.321852,6.295745,0.295792,0.888125,1.390850,0.236741,0.096528
0.020000,0.340082,6.297562,0.314113,0.916045,1.396020,0.258505,0.102077
0.020000,0.358860,6.299539,0.332995,0.944079,1.401677,0.282856,0.107736
0.020000,0.378186,6.301685,0.352439,0.972222,1.407150,0.273633,0.113500
0.020000,0.398060,6.304010,0.372449,1.000481,1.412965,0.290737,0.119363
0.020000,0.418484,6.306521,0.393026,1.028870,1.419457,0.324589,0.125318
0.020000,0.439457,6.309228,0.414174,1.057384,1.425702,0.312290,0.131361
0.020000,0.460982,6.312139,0.435894,1.086032,1.432389,0.334353,0.137483
0.020000,0.483058,6.315264,0.458191,1.114820,1.439378,0.349429,0.143679
0.020000,0.505687,6.318610,0.481066,1.143751,1.446560,0.359103,0.149942
0.020000,0.528869,6.322187,0.504522,1.172830,1.453953,0.369641,0.156264
0.020000,0.552606,6.326005,0.528564,1.202063,1.461656,0.385142,0.162637
0.020000,0.576897,6.330071,0.553193,1.231455,1.469572,0.395827,0.169055
0.020000,0.601744,6.334395,0.578413,1.261007,1.477604,0.401593,0.175508
0.020000,0.627147,6.338985,0.604227,1.290725,1.485937,0.416636,0.181990
0.020000,0.653107,6.343850,0.630640,1.320616,1.494514,0.428863,0.188492
0.020000,0.679626,6.348998,0.657653,1.350679,1.503173,0.432952,0.195005
0.020000,0.706703,6.354438,0.685272,1.380920,1.512068,0.444753,0.201520
0.020000,0.734340,6.360179,0.713499,1.411343,1.521130,0.453062,0.208029
0.020000,0.762538,6.366227,0.742338,1.441950,1.530333,0.460192,0.214524
0.020000,0.791297,6.372591,0.771792,1.472744,1.539709,0.468767,0.220994
0.020000,0.820618,6.379278,0.801867,1.503727,1.549165,0.472802,0.227431
0.020000,0.850504,6.386295,0.832565,1.534903,1.558797,0.481601,0.233824
0.020000,0.880953,6.393651,0.863891,1.566274,1.568523,0.486311,0.240166
0.020000,0.911969,6.401350,0.895847,1.597840,1.578320,0.489872,0.246446
0.020000,0.943551,6.409400,0.928439,1.629604,1.588212,0.494555,0.252654
0.020000,0.975702,6.417806,0.961671,1.661568,1.598198,0.499335,0.258781
0.020000,1.008422,6.426574,0.995545,1.693734,1.608280,0.504086,0.264818
0.020000,1.041713,6.435709,1.030067,1.726099,1.618251,0.498562,0.270753
0.020000,1.075578,6.445215,1.065241,1.758670,1.628554,0.515123,0.276578
0.020000,1.110017,6.455098,1.101070,1.791441,1.638561,0.500390,0.282283
0.020000,1.145032,6.465360,1.137558,1.824420,1.648929,0.518372,0.287857
0.020000,1.180627,6.476005,1.174710,1.857603,1.659142,0.510661,0.293290
0.020000,1.216802,6.487035,1.212530,1.890991,1.669410,0.513391,0.298573
0.020000,1.253562,6.498453,1.251022,1.924585,1.679737,0.516333,0.303696
0.020000,1.290908,6.510259,1.290189,1.958388,1.690125,0.519405,0.308648
0.020000,1.328843,6.522455,1.330037,1.992396,1.700422,0.514847,0.313419
0.020000,1.367372,6.535041,1.370570,2.026614,1.710882,0.523041,0.317999
0.020000,1.406498,6.548016,1.411790,2.061041,1.721347,0.523209,0.322379
0.020000,1.446224,6.561379,1.453704,2.095679,1.731922,0.528780,0.326547
0.020000,1.486555,6.575128,1.496315,2.130528,1.742425,0.525119,0.330494
0.020000,1.527497,6.589260,1.539626,2.165589,1.753070,0.532255,0.334209
0.020000,1.569053,6.603772,1.583644,2.200866,1.763843,0.538689,0.337681
0.020000,1.611230,6.618659,1.628371,2.236359,1.774657,0.540696,0.340901
0.020000,1.654033,6.633916,1.673812,2.272073,1.785693,0.551789,0.343857
0.020000,1.697470,6.649537,1.719972,2.308010,1.796820,0.556356,0.346539
0.020000,1.741547,6.665515,1.766856,2.344169,1.807958,0.556872,0.348935
0.020000,1.786271,6.681841,1.814467,2.380559,1.819532,0.578720,0.351034
0.020000,1.831652,6.698507,1.862811,2.417183,1.831160,0.581413,0.352826
0.020000,1.877696,6.715502,1.911892,2.454043,1.843022,0.593093,0.354299
0.020000,1.924414,6.732815,1.961714,2.491146,1.855163,0.607058,0.355440
0.020000,1.971816,6.750434,2.012284,2.528498,1.867598,0.621724,0.356238
0.020000,2.019911,6.768345,2.063607,2.566105,1.880339,0.637033,0.356680
0.020000,2.068711,6.786533,2.115686,2.603973,1.893397,0.652938,0.356754
0.020000,2.118229,6.804981,2.168528,2.642110,1.906827,0.671493,0.356446
0.020000,2.168475,6.823672,2.222139,2.680522,1.920623,0.689785,0.355743
0.020000,2.219464,6.842587,2.276523,2.719219,1.934866,0.712169,0.354631
0.020000,2.271210,6.861704,2.331687,2.758210,1.949534,0.733382,0.353097
0.020000,2.323727,6.881002,2.387637,2.797503,1.964627,0.754653,0.351124
0.020000,2.377030,6.900456,2.444379,2.837107,1.980204,0.778850,0.348699
0.020000,2.431135,6.920040,2.501920,2.877034,1.996348,0.807197,0.345805
0.020000,2.486060,6.939726,2.560266,2.917291,2.012862,0.825725,0.342426
0.020000,2.541821,6.959483,2.619424,2.957888,2.029872,0.850482,0.338546
0.020000,2.598436,6.979280,2.679400,2.998839,2.047539,0.883328,0.334147
