dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.026368,5.459195,0.000151,0.015148,0.757409,37.870451,6.281696
0.020000,0.026443,5.459195,0.000227,0.003783,-0.568274,-66.284158,6.281880
0.020000,0.026595,5.459195,0.000378,0.007563,0.189028,37.865118,6.282248
0.020000,0.026821,5.459194,0.000605,0.011340,0.188815,-0.010684,6.282800
0.020000,0.028277,5.459195,0.002060,0.072757,3.070852,144.101855,0.000350
0.020000,0.031684,5.459197,0.005467,0.170354,4.879876,90.451212,0.001268
0.020000,0.035772,5.459205,0.009556,0.204412,1.702916,-158.848000,0.002369
0.020000,0.040541,5.459219,0.014325,0.238449,1.701820,-0.054782,0.003653
0.020000,0.045990,5.459243,0.019774,0.272478,1.701461,-0.017969,0.005118
0.020000,0.052120,5.459280,0.025904,0.306494,1.700804,-0.032824,0.006764
0.020000,0.058930,5.459332,0.032714,0.340491,1.699855,-0.047452,0.008590
0.020000,0.066419,5.459404,0.040203,0.374464,1.698619,-0.061822,0.010596
0.020000,0.074587,5.459499,0.048372,0.408438,1.698719,0.005013,0.012779
0.020000,0.083433,5.459623,0.057219,0.442358,1.696009,-0.135519,0.015140
0.020000,0.092958,5.459779,0.066745,0.476283,1.696260,0.012543,0.017677
0.020000,0.103159,5.459973,0.076948,0.510158,1.693734,-0.126283,0.020388
0.020000,0.114036,5.460211,0.087828,0.544008,1.692485,-0.062467,0.023272
0.020000,0.125589,5.460497,0.099385,0.577826,1.690903,-0.079097,0.026327
0.020000,0.137817,5.460839,0.111617,0.611606,1.688998,-0.095227,0.029552
0.020000,0.150717,5.461242,0.124524,0.645341,1.686782,-0.110830,0.032944
0.020000,0.164290,5.461714,0.138104,0.679046,1.685237,-0.077219,0.036502
0.020000,0.178533,5.462260,0.152358,0.712692,1.682314,-0.146177,0.040224
0.020000,0.193446,5.462890,0.167284,0.746298,1.680261,-0.102635,0.044106
0.020000,0.209026,5.463609,0.182881,0.779839,1.677072,-0.159452,0.048146
0.020000,0.225272,5.464426,0.199148,0.813328,1.674468,-0.130210,0.052341
0.020000,0.242182,5.465348,0.216083,0.846758,1.671492,-0.148787,0.056689
0.020000,0.259754,5.466385,0.233685,0.880121,1.668162,-0.166502,0.061186
0.020000,0.277985,5.467545,0.251953,0.913411,1.664495,-0.183338,0.065829
0.020000,0.296874,5.468835,0.270886,0.946622,1.660510,-0.199281,0.070614
0.020000,0.316417,5.470266,0.290481,0.979772,1.657501,-0.150442,0.075537
0.020000,0.336612,5.471846,0.310738,1.012816,1.652241,-0.262967,0.080595
0.020000,0.357455,5.473584,0.331653,1.045785,1.648404,-0.191862,0.085782
0.020000,0.378944,5.475489,0.353227,1.078659,1.643742,-0.233107,0.091095
0.020000,0.401075,5.477572,0.375455,1.111431,1.638601,-0.257031,0.096528
0.020000,0.423844,5.479840,0.398337,1.144100,1.633443,-0.257938,0.102077
0.020000,0.447248,5.482305,0.421870,1.176667,1.628322,-0.256026,0.107736
0.020000,0.471282,5.484974,0.446053,1.209115,1.622399,-0.296179,0.113500
0.020000,0.495943,5.487859,0.470882,1.241441,1.616329,-0.303498,0.119363
0.020000,0.521226,5.490968,0.496355,1.273652,1.610525,-0.290153,0.125318
0.020000,0.547126,5.494310,0.522469,1.305729,1.603847,-0.333931,0.131361
0.020000,0.573638,5.497896,0.549223,1.337672,1.597150,-0.334826,0.137483
0.020000,0.600757,5.501734,0.576612,1.369477,1.590268,-0.344099,0.143679
0.020000,0.628478,5.505833,0.604635,1.401139,1.583077,-0.359571,0.149942
0.020000,0.656796,5.510203,0.633288,1.432651,1.575609,-0.373380,0.156264
0.020000,0.685705,5.514852,0.662568,1.464011,1.568000,-0.380452,0.162637
0.020000,0.715199,5.519789,0.692472,1.495214,1.560147,-0.392653,0.169055
0.020000,0.745272,5.525022,0.722998,1.526253,1.551949,-0.409905,0.175508
0.020000,0.775918,5.530560,0.754140,1.557126,1.543651,-0.414910,0.181990
0.020000,0.807131,5.536409,0.785897,1.587830,1.535204,-0.422326,0.188492
0.020000,0.838905,5.542578,0.818264,1.618359,1.526437,-0.438388,0.195005
0.020000,0.871233,5.549073,0.851238,1.648710,1.517558,-0.443950,0.201520
0.020000,0.904109,5.555901,0.884816,1.678880,1.508508,-0.452468,0.208029
0.020000,0.937527,5.563069,0.918993,1.708866,1.499286,-0.461092,0.214524
0.020000,0.971479,5.570582,0.953766,1.738665,1.489953,-0.466687,0.220994
0.020000,1.005959,5.578445,0.989132,1.768273,1.480426,-0.476321,0.227431
0.020000,1.040961,5.586664,1.025085,1.797690,1.470846,-0.479011,0.233824
0.020000,1.076477,5.595243,1.061624,1.826913,1.461141,-0.485238,0.240166
0.020000,1.112503,5.604186,1.098742,1.855939,1.451311,-0.491528,0.246446
0.020000,1.149030,5.613496,1.136438,1.884767,1.441405,-0.495293,0.252654
0.020000,1.186054,5.623176,1.174706,1.913396,1.431448,-0.497832,0.258781
0.020000,1.223567,5.633228,1.213542,1.941825,1.421461,-0.499388,0.264818
0.020000,1.261563,5.643654,1.252943,1.970050,1.411226,-0.511746,0.270753
0.020000,1.300038,5.654455,1.292905,1.998075,1.401265,-0.498031,0.276578
0.020000,1.338984,5.665631,1.333423,2.025893,1.390879,-0.519297,0.282283
0.020000,1.378396,5.677182,1.374493,2.053509,1.380822,-0.502829,0.287857
0.020000,1.418270,5.689106,1.416111,2.080920,1.370520,-0.515102,0.293290
0.020000,1.458599,5.701403,1.458274,2.108124,1.360215,-0.515272,0.298573
0.020000,1.499380,5.714069,1.500976,2.135122,1.349912,-0.515169,0.303696
0.020000,1.540607,5.727102,1.544214,2.161914,1.339610,-0.515067,0.308648
0.020000,1.582276,5.740499,1.587984,2.188497,1.329137,-0.523655,0.313419
0.020000,1.624384,5.754254,1.632282,2.214872,1.318764,-0.518645,0.317999
0.020000,1.666927,5.768362,1.677103,2.241038,1.308301,-0.523175,0.322379
0.020000,1.709901,5.782817,1.722442,2.266995,1.297847,-0.522671,0.326547
0.020000,1.753303,5.797613,1.768297,2.292739,1.287183,-0.533201,0.330494
0.020000,1.797131,5.812741,1.814663,2.318269,1.276519,-0.533241,0.334209
0.020000,1.841382,5.828194,1.861534,2.343586,1.265808,-0.535534,0.337681
